名稱,編號,生成地點,侵臺次數,侵(近)臺日期,發布時間,解除時間,發布報數,最大強度,近中心最大風速,侵臺路徑分類,登陸地段,動態,災情,颱風災害專區網頁連結
耐特 (NAT),199120,"119.6, 20.6",第 1 次,1991年 09月 23日,海上 1991-09-22 10:45:00陸上 1991-09-22 15:10:00,陸上 1991-09-23 21:10:00海上 1991-09-24 18:30:00,11,強烈,51 (公尺/秒),特殊,臺東至恆春間,形成後先向西行進，至東沙島附近，返轉向東行，至宮古島南方，又轉西北撲向台灣於23日凌晨7時登陸恆春半島，並迅速穿越恆春半島繼續以西轉西南方向離去，並減弱為熱帶低壓。,東、南部受災嚴重，多處山區山洪瀑發，尤在南迴公路多良段瀧橋旁嚴重坍方，造成多輛汽車掩埋損毁、人員傷亡。另臺南、屏東、臺東部分沿海地區曾發生海水倒灌，而蘭嶼更是近10年來受災最大的一次。,---
耐特 (NAT),199120,"119.6, 20.6",第 2 次,1991年 10月 01日,海上 1991-09-30 10:45:00陸上 1991-09-30 15:50:00,陸上 1991-10-02 06:30:00海上 1991-10-02 06:30:00,9,輕度,30 (公尺/秒),特殊,---,28日晚間在呂宋島西方海面再度增強為輕度颱風，向北行進進入巴士海峽至東沙島東北方近海，轉向西北後，在汕頭附近登陸，解除對臺灣的威脅。,東、南部受災嚴重，多處山區山洪瀑發，尤在南迴公路多良段瀧橋旁嚴重坍方，造成多輛汽車掩埋損毁、人員傷亡。另臺南、屏東、臺東部分沿海地區曾發生海水倒灌，而蘭嶼更是近10年來受災最大的一次。,---
露絲 (RUTH),199123,"143.1, 10.9",第 1 次,1991年 10月 30日,海上 1991-10-26 09:50:00陸上 1991-10-27 03:45:00,陸上 1991-10-28 09:20:00海上 1991-10-30 09:30:00,17,強烈,58 (公尺/秒),---,---,形成後以西轉西北方向逼近巴士海峽，至呂宋島東北方近海突然轉向西南登陸菲律賓，穿越呂宋島後以北北西轉北北東方向朝臺灣南部行進，至恆春南方海上減弱為熱帶低壓朝向東北方離去。,---,---
露絲 (RUTH),199123,"143.1, 10.9",第 2 次,---,海上 1991-10-26 09:50:00陸上 1991-10-29 09:35:00,陸上 1991-10-30 09:30:00海上 1991-10-30 09:30:00,---,強烈,58 (公尺/秒),---,---,---,---,---
席斯 (SETH),199124,"157.8, 8.0",僅一次,1991年 11月 14日,海上 1991-11-12 21:45:00,海上 1991-11-14 15:00:00,8,中度,33 (公尺/秒),---,---,形成後一直以西或西北之方向行進，13日凌晨行至呂宋島東北方近海緩緩逼近巴士海峽，14日上午位於呂宋島西北方近海時開始轉向西南離去並減弱為熱帶低壓。,---,---
亞伯 (ABE),199014,"141.5, 12.9",僅一次,1990年 08月 30日,海上 1990-08-29 09:20:00陸上 1990-08-29 16:15:00,陸上 1990-08-31 03:45:00海上 1990-08-31 09:10:00,9,中度,45 (公尺/秒),1,---,形成後以西北西方向行進，通過宮古島、石垣島間之海面後，抵達彭佳嶼東北方海面時，轉向西北方向，而由浙江沿岸進入大陸。,北部略有災情。,---
蓓琪 (BECKY),199015,"128.3, 18.7",僅一次,1990年 08月 26日,海上 1990-08-26 04:40:00,海上 1990-08-27 09:20:00,6,輕度,30 (公尺/秒),---,---,形成後以西北西轉西南西方向行進，通過呂宋島北端後向西移動，由越南中部沿岸進入中南半島。,---,---
黛特 (DOT),199017,"138.7, 14.5",僅一次,1990年 09月 07日,海上 1990-09-06 09:50:00陸上 1990-09-06 16:00:00,陸上 1990-09-08 21:10:00海上 1990-09-08 21:10:00,11,中度,38 (公尺/秒),3,花蓮至成功間,形成後以西北西方向行進，於7日21時55分左右在花蓮秀姑巒溪口處登陸，由嘉義附近出海，後經金門北方近海進入大陸。,北部及東部均有災情，其中尤以花蓮地區豪雨成災最為嚴重。,---
艾德 (ED),199018,"140.8, 19.7",僅一次,1990年 09月 14日,海上 1990-09-14 02:40:00,海上 1990-09-15 10:00:00,6,中度,33 (公尺/秒),---,---,形成後向西移動，經呂宋島北部海面後，由越南中部沿岸進入中南半島。,---,---
瑪麗安 (MARIAN),199003,"115.3, 10.6",僅一次,1990年 05月 19日,海上 1990-05-18 09:30:00陸上 1990-05-18 15:40:00,陸上 1990-05-19 14:50:00海上 1990-05-19 14:50:00,6,中度,40 (公尺/秒),9,東石至高雄間,形成後在呂宋島西方海面轉向東北移動，於5月19日約8時多在臺南附近登陸，而由花蓮附近出海後減弱為熱帶性低氣壓。,南部略有災情。,---
歐菲莉 (OFELIA),199005,"132.4, 9.6",僅一次,1990年 06月 23日,海上 1990-06-21 16:00:00陸上 1990-06-21 21:30:00,陸上 1990-06-24 04:30:00海上 1990-06-24 15:10:00,13,中度,38 (公尺/秒),6,花蓮至成功間,形成後以西北轉北北西方向行進，於6月23日13時06分在花蓮南方約19公里處登陸，而由新竹附近出海後朝北進入東海。,東部地區有嚴重災情，尤以花蓮最為嚴重。,---
波西 (PERCY),199006,"146.0, 10.5",僅一次,1990年 06月 28日,海上 1990-06-26 16:00:00陸上 1990-06-27 04:10:00,陸上 1990-06-29 15:10:00海上 1990-06-30 09:00:00,16,強烈,51 (公尺/秒),---,---,形成後以西北轉北北西方向行進，通過呂宋島東北部後，由汕頭北方進入大陸，而於金門附近減弱為熱帶性低氣壓。,---,---
蘿繽 (ROBYN),199007,"125.6, 19.1",僅一次,1990年 07月 10日,海上 1990-07-09 10:40:00,海上 1990-07-10 21:00:00,7,輕度,20 (公尺/秒),---,---,形成後以西北轉北之方向行進，經臺灣東部海面後進入東海。,---,---
楊希 (YANCY),199012,"140.6, 18.7",僅一次,1990年 08月 19日,海上 1990-08-17 09:50:00陸上 1990-08-18 04:40:00,陸上 1990-08-20 04:15:00海上 1990-08-20 15:30:00,14,中度,40 (公尺/秒),2,彭佳嶼至宜蘭間,形成後以S形路徑向西北行進，經臺灣東南部海面時以北北西轉西之方向，通過臺灣北部後由馬祖南方近海進入大陸。而由衛星定位之高層颱風中心，則通過北部近海。,中、北部有嚴重災情。,---
安吉菈 (ANGELA),198923,"139.0, 15.1",僅一次,1989年 10月 06日,海上 1989-10-05 09:30:00,海上 1989-10-07 09:40:00,9,強烈,67 (公尺/秒),---,---,形成後向西北轉西方向行進，經呂宋島東北方近海轉向西北西方向，掠過呂宋島東北角後進入南海。,---,---
白蘭黛 (BRENDA),198903,"128.0, 11.0",僅一次,1989年 05月 19日,海上 1989-05-18 15:00:00,海上 1989-05-20 14:35:00,9,中度,35 (公尺/秒),---,---,形成後向西北西轉西北方向行進，穿過呂宋島南端後，轉北北西方向經東沙島南方海上，進入大陸地區。,---,---
戈登 (GORDON),198908,"142.6, 18.1",僅一次,1989年 07月 16日,海上 1989-07-15 09:35:00,海上 1989-07-17 21:20:00,11,強烈,65 (公尺/秒),---,---,形成後向西轉西南西方向行進，至呂宋島東方海面轉向西北西方向，掠過呂宋島北端後，向西北方向進入大陸地區。,---,---
賀璞 (HOPE),198909,"131.8, 21.5",僅一次,1989年 07月 19日,海上 1989-07-18 09:20:00,海上 1989-07-19 15:00:00,6,輕度,25 (公尺/秒),---,---,形成後向西北方向行進，經宮古島東北方近海，由浙江沿海進入大陸。,---,---
羅拉 (LOLA),198913,"130.6, 28.3",僅一次,1989年 08月 03日,海上 1989-07-31 21:30:00,海上 1989-08-03 09:10:00,11,輕度,28 (公尺/秒),---,---,形成後向西南西方向行進，經那霸島東北方近海呈打轉現象，經過24小時向西北前進，逐漸遠離臺灣。,---,---
莎拉 (SARAH),198919,"159.1, 15.8",僅一次,1989年 09月 11日,海上 1989-09-08 09:50:00陸上 1989-09-08 15:00:00,陸上 1989-09-13 15:20:00海上 1989-09-13 20:30:00,23,強烈,51 (公尺/秒),3,花蓮至成功間,形成後向西北西轉西南方向行進，在呂宋島東北方海面打轉後，朝向北北西轉西北方向移動。於11日23時左右在花蓮南方靜浦附近登陸後減弱消失，由臺東近海形成副低壓所取代，繼續向北行進，於13 日凌晨掠過臺灣東北角後，由馬祖北方進入大陸。,全臺均有災情。中南部水災嚴重；中山高速公路水上、新營路段間坍塌，造成通車以來最大災害。,---
薇拉 (VERA),198921,"144.7, 17.0",僅一次,1989年 09月 15日,海上 1989-09-14 15:40:00,海上 1989-09-15 20:30:00,6,輕度,25 (公尺/秒),---,---,形成後向西北西轉西北方向行進，經宮古島東北方近海後，由浙江沿海進入大陸。,---,---
克蒂 (KIT),198816,"121.8, 18.0",僅一次,1988年 09月 21日,海上 1988-09-21 10:15:00,海上 1988-09-22 09:05:00,5,輕度,28 (公尺/秒),---,---,形成後穿越呂宋島北端，以西北轉北北西之方向，於22日上午8時左右在汕頭西南方約80公里處登陸後減弱。,---,---
李尹 (LEE),198817,"134.5, 18.4",僅一次,1988年 09月 24日,海上 1988-09-23 09:50:00,海上 1988-09-24 09:45:00,5,輕度,28 (公尺/秒),---,---,形成後以西北西方向行進，至宮古島東南方近海時由北轉向東北遠離。,---,---
尼爾森 (NELSON),198819,"137.1, 12.2",僅一次,1988年 10月 05日,海上 1988-10-03 21:15:00陸上 1988-10-04 08:50:00,陸上 1988-10-05 21:10:00海上 1988-10-06 03:40:00,10,強烈,63 (公尺/秒),---,---,形成後以西北西轉西北方向行進，在恆春東南方海面上逐漸轉向東北遠離。,---,---
歐黛莎 (ODESSA),198820,"132.5, 19.0",僅一次,1988年 10月 13日,海上 1988-10-12 15:50:00,海上 1988-10-14 03:40:00,7,輕度,25 (公尺/秒),---,---,形成後向西之方向行進，至恆春東南東方約800公里之海面，逐漸轉向東北東方向遠離。,---,---
派特 (PAT),198821,"133.2, 15.6",僅一次,1988年 10月 21日,海上 1988-10-19 15:50:00,海上 1988-10-21 09:00:00,8,中度,38 (公尺/秒),---,---,在呂宋島東方海面向西北西轉西移動，穿越呂宋島進入南海後遠離。,---,---
魯碧 (RUBY),198822,"135.9, 9.9",僅一次,1988年 10月 25日,海上 1988-10-25 16:00:00,海上 1988-10-27 09:15:00,8,中度,48 (公尺/秒),---,---,形成後以西北西方向穿過呂宋島，進入南海遠離。,---,---
蘇珊 (SUSAN),198802,"119.4, 18.4",僅一次,1988年 06月 02日,海上 1988-05-31 21:15:00陸上 1988-06-01 04:25:00,陸上 1988-06-02 20:55:00海上 1988-06-02 20:55:00,9,中度,40 (公尺/秒),9,高雄至恆春間,形成後以西北轉北之方向行進，在東沙島東南方海上轉向東北方向移動，於2日6時40分在恆春半島登陸，由臺東大武附近出海，經琉球石垣島近海向東北方遠離。,災情輕微。,---
華倫 (WARREN),198805,"144.7, 12.3",僅一次,1988年 07月 18日,海上 1988-07-17 08:45:00陸上 1988-07-17 21:15:00,陸上 1988-07-19 21:00:00海上 1988-07-19 21:00:00,11,強烈,55 (公尺/秒),---,---,形成後以西北西方向行進，經呂宋島北方近海後轉向西北方向，於19日下午4時30分左右在汕頭西方登陸後減弱。,---,---
亞力士 (ALEX),198708,"132.9, 10.6",僅一次,1987年 07月 27日,海上 1987-07-25 15:10:00陸上 1987-07-25 21:00:00,陸上 1987-07-27 21:35:00海上 1987-07-27 21:35:00,10,中度,35 (公尺/秒),6,彭佳嶼至宜蘭間,形成後在呂宋島東方海面以西北方向行進，至恆春東南方海面200公里處轉向北北西移動，於27日6時左右在宜蘭頭城附近登陸由基隆附近出海，從浙江南部登陸大陸(暴風圈掠過全臺)。,災情輕微，有人員傷亡及失蹤。,---
凱瑞 (CARY),198710,"134.7, 12.8",僅一次,1987年 08月 18日,海上 1987-08-15 09:40:00,海上 1987-08-19 03:20:00,16,中度,38 (公尺/秒),---,---,形成後以西北西方向行進，至呂宋島近海打轉後朝西移行，通過呂宋島中部後進入南海。,---,---
黛納 (DINAH),198711,"147.0, 11.3",僅一次,1987年 08月 29日,海上 1987-08-27 15:15:00陸上 1987-08-28 09:25:00,陸上 1987-08-30 08:30:00海上 1987-08-30 08:30:00,12,強烈,62 (公尺/秒),---,---,形成後在呂宋島東方海面以北北西轉西北方向行進，至宮古島東南方時漸轉北，通過那霸與宮古島間後遠離。,---,---
傑魯得 (GERALD),198714,"126.8, 16.3",僅一次,1987年 09月 09日,海上 1987-09-07 16:10:00陸上 1987-09-08 09:35:00,陸上 1987-09-10 21:20:00海上 1987-09-11 03:55:00,15,強烈,51 (公尺/秒),5,---,形成後以西北轉北北西方向行進，經臺灣西南部近海，從金門東方登陸大陸。,南部及東部有災情，其中尤以屏東縣最為嚴重，有人員傷亡及失蹤。,---
琳恩 (LYNN),198720,"157.2, 12.8",僅一次,1987年 10月 24日,海上 1987-10-22 16:05:00陸上 1987-10-23 09:55:00,陸上 1987-10-27 09:50:00海上 1987-10-27 09:50:00,20,強烈,53 (公尺/秒),5,---,形成後在呂宋島東方海面以西北西方向行進，經呂宋島北部近海後，在恆春西南方轉向北方緩慢移動，不久減弱為熱帶性低氣壓(暴風圈掠過南部)。,受到颱風外圍環流及東北季風雙重影響，造成北部地區近年來最嚴重之積水，尤其松山、南港、內湖、汐止一帶最嚴重，有人員傷亡及失蹤。,---
賽洛瑪 (THELMA),198705,"145.5, 14.6",僅一次,1987年 07月 14日,海上 1987-07-11 10:00:00陸上 1987-07-12 21:00:00,陸上 1987-07-14 20:55:00海上 1987-07-15 04:10:00,16,強烈,60 (公尺/秒),---,---,形成後以西北西轉西之方向行進，至呂宋島東方450公里海面時轉向北北西移動，經宮古島及石垣島間轉北進入東海遠離。,---,---
費南 (VERNON),198706,"133.1, 12.2",僅一次,1987年 07月 21日,海上 1987-07-19 15:15:00陸上 1987-07-20 04:30:00,陸上 1987-07-21 21:40:00海上 1987-07-22 04:25:00,11,中度,33 (公尺/秒),6,彭佳嶼至宜蘭間,形成後以北北西方向行進，經臺灣東部海面後，於21日下午經過臺灣東北角陸地後，進入東海遠離(暴風圈掠過北部及東部)。,引進西南氣流造成臺南與高雄地區積水成災，並有人員傷亡。,---
艾貝 (ABBY),198613,"140.4, 14.3",僅一次,1986年 09月 19日,海上 1986-09-16 09:50:00陸上 1986-09-17 15:35:00,陸上 1986-09-20 15:25:00海上 1986-09-20 15:25:00,18,強烈,51 (公尺/秒),3,花蓮至成功間,形成後在琉球南方以西北西方向行進，於19日7時48分在成功登陸，由梧棲北方出海後，轉東北方向遠離。,中南部、東部均有災情。,---
艾倫 (ELLEN),198617,"126.6, 10.8",僅一次,1986年 10月 16日,海上 1986-10-14 14:50:00陸上 1986-10-15 15:40:00,陸上 1986-10-17 09:20:00海上 1986-10-17 20:35:00,14,中度,40 (公尺/秒),---,---,形成後以北北西轉西北之方向行進，經東沙島及香港南方海面後登陸大陸。,---,---
南施 (NANCY),198605,"127.8, 15.5",僅一次,1986年 06月 24日,海上 1986-06-22 15:25:00陸上 1986-06-22 20:55:00,陸上 1986-06-24 15:00:00海上 1986-06-24 15:00:00,9,中度,38 (公尺/秒),6,花蓮至成功間,形成後向西北轉北行進，於24日2時左右在花蓮附近登陸，由基隆附近出海後轉向北北東移動。,東部略有災情。,---
佩姬 (PEGGY),198607,"150.6, 14.0",僅一次,1986年 07月 10日,海上 1986-07-07 09:00:00陸上 1986-07-07 21:10:00,陸上 1986-07-11 08:50:00海上 1986-07-11 15:15:00,18,強烈,70 (公尺/秒),5,---,形成後向西北西行進，通過呂宋島北端後轉向西移動，從汕頭西南方登陸(暴風圈掠過南部)。,東部略有災情。,---
莎拉 (SARAH),198609,"126.9, 16.3",僅一次,1986年 08月 02日,海上 1986-08-01 09:20:00,海上 1986-08-03 09:50:00,9,輕度,23 (公尺/秒),---,---,形成後向西北西行進，於2日清晨移至呂宋島東北端近海時，高層環流繼續偏西移動登陸呂宋島後進入南海，低層中心則轉向東北進行經那霸東方海面遠離。,---,---
薇拉 (VERA),198611,"137.4, 22.1",僅一次,1986年 08月 27日,海上 1986-08-25 09:55:00陸上 1986-08-25 15:30:00,陸上 1986-08-27 09:30:00海上 1986-08-27 15:58:00,10,中度,45 (公尺/秒),---,---,形成後在琉球東南方海面以西北西轉西北方向行進，經那霸島南方近海，東海南部朝向黃海遠離。,---,---
韋恩 (WAYNE),198612,"117.1, 15.8",第 1 次,1986年 08月 22日,海上 1986-08-20 20:50:00陸上 1986-08-21 04:10:00,陸上 1986-08-23 04:30:00海上 1986-08-23 15:15:00,12,中度,38 (公尺/秒),特殊,東石至臺中間,形成後以西北西轉西北進行，在香港西南方海面轉向東北，於 22 日 3 時 30 分通過澎湖，6 時 40 分自濁水溪口附近登陸，通過雲林南投，於下午 1 點左右由花蓮北方出海，後以東北東及東北方向行進至石恒島附近打轉排徊。,中、南部及澎湖地區損失慘重，有人員傷亡、失蹤。韋恩颱風為臺灣氣象史上第一次由中部登陸，為近年來最嚴重的天然災害。,---
韋恩 (WAYNE),198612,"117.1, 15.8",第 2 次,1986年 08月 24日,海上 1986-08-24 08:10:00陸上 1986-08-24 14:35:00,陸上 1986-08-25 04:35:00海上 1986-08-25 04:35:00,4,輕度,28 (公尺/秒),特殊,臺東至恆春間,24 日 8 時開始向西南移動，再次向臺灣接近，於 24 日 22 時左右在臺東大武南方登陸後減弱，由高雄外海之副低壓取代並減弱為熱帶性低氣壓，繼續向西南移動，至東沙島南方海面轉向東行進。,中、南部及澎湖地區損失慘重，有人員傷亡、失蹤。韋恩颱風為臺灣氣象史上第一次由中部登陸，為近年來最嚴重的天然災害。,---
韋恩 (WAYNE),198612,"117.1, 15.8",第 3 次,1986年 08月 29日,海上 1986-08-28 15:25:00陸上 1986-08-28 21:45:00,陸上 1986-09-03 09:30:00海上 1986-09-03 20:35:00,26,中度,40 (公尺/秒),特殊,---,28 日上午在呂宋島北方海面增強為輕度颱風，向北北東進行，第三度威脅臺灣，行至蘭嶼南方近海呈不穩定來回打轉，9 月 1 日晚始逐漸向西移動。,中、南部及澎湖地區損失慘重，有人員傷亡、失蹤。韋恩颱風為臺灣氣象史上第一次由中部登陸，為近年來最嚴重的天然災害。,---
白蘭黛 (BRENDA),198519,"130.4, 16.1",僅一次,1985年 10月 04日,海上 1985-10-02 16:05:00陸上 1985-10-03 09:10:00,陸上 1985-10-04 21:10:00海上 1985-10-05 04:00:00,11,中度,45 (公尺/秒),6,---,形成後向西北轉北之方向沿著臺灣東部近海北上(暴風圈籠罩全臺)，在臺灣東北方海面時轉向東北離去。,北部、東部略有災情，有人員傷亡。,---
海爾 (HAL),198504,"131.5, 14.5",僅一次,1985年 06月 22日,海上 1985-06-21 09:50:00陸上 1985-06-22 04:00:00,陸上 1985-06-23 21:30:00海上 1985-06-24 04:00:00,12,中度,48 (公尺/秒),5,---,在呂宋島東方海面形成後，向西北轉西北西進行，通過巴士海峽南端(暴風圈掠過臺灣南部) ，經由香港附近進入大陸地區。,東南部及南部地區災情嚴重，有人員傷亡及失蹤。,---
傑夫 (JEFF),198506,"146.1, 22.7",僅一次,1985年 07月 29日,海上 1985-07-28 09:00:00陸上 1985-07-28 15:05:00,陸上 1985-07-30 09:00:00海上 1985-07-30 20:50:00,11,中度,35 (公尺/秒),1,---,形成後在宮古島附近向西北西進行，通過臺灣北部海面後(暴風圈掠過臺灣東北角)進入浙江省。,北部略有災情。,---
尼爾森 (NELSON),198510,"140.0, 21.2",僅一次,1985年 08月 23日,海上 1985-08-20 15:30:00陸上 1985-08-21 21:00:00,陸上 1985-08-23 20:30:00海上 1985-08-24 04:35:00,15,中度,48 (公尺/秒),1,---,形成後在那霸島南方向西北西進行，通過石垣島、臺灣北部近海(暴風圈涵蓋中、北部)，經由馬祖南方進入大陸地區。,北部及東北部損失慘重，有人員傷亡及失蹤。,---
派特 (PAT),198512,"125.8, 21.3",僅一次,1985年 08月 27日,海上 1985-08-27 15:30:00,海上 1985-08-30 09:40:00,12,中度,35 (公尺/秒),---,---,形成後以極緩慢之速度向東北轉北移動，後進入日本南方海面。,---,---
蒂絲 (TESS),198515,"131.1, 15.1",僅一次,1985年 09月 04日,海上 1985-09-03 16:00:00,海上 1985-09-05 04:00:00,7,中度,33 (公尺/秒),---,---,形成後穿過呂宋島北部，後向西北轉西進行，經東沙島南方海面，進入香港附近海面。,---,---
衛奧 (VAL),198516,"132.0, 18.1",僅一次,1985年 09月 17日,海上 1985-09-15 16:00:00陸上 1985-09-16 12:55:00,陸上 1985-09-17 09:45:00海上 1985-09-17 21:15:00,11,輕度,25 (公尺/秒),5,---,形成後向西北西轉西進行，通過恆春南方近海後(暴風圈掠過臺灣南端)進入東沙島海面。,東南部略有災情。,---
亞力士 (ALEX),198403,"124.0, 16.3",僅一次,1984年 07月 03日,海上 1984-07-02 21:00:00陸上 1984-07-03 04:10:00,陸上 1984-07-04 04:00:00海上 1984-07-04 09:00:00,8,中度,35 (公尺/秒),6,花蓮至成功間,形成後向西北轉北北西移動，於3日13時在成功北方約10公里處登陸，由新竹出海(暴風圈籠罩全臺)後，轉北北東進入浙江省。,帶給中、南部豪雨，尤其臺南縣白河一帶較為嚴重，有人員死亡，數百人無家可歸。,---
比爾 (BILL),198425,"153.5, 13.9",僅一次,1984年 11月 18日,海上 1984-11-17 15:00:00,海上 1984-11-18 21:00:00,6,強烈,51 (公尺/秒),---,---,形成後在呂宋島東北方近海向西北移動，至巴士海峽東部時，順轉一圈後朝向東南方移動，最後消失於呂宋島東方海面上。,---,---
芙瑞達 (FREDA),198408,"126.2, 18.9",僅一次,1984年 08月 07日,海上 1984-08-06 15:10:00陸上 1984-08-06 15:10:00,陸上 1984-08-08 04:00:00海上 1984-08-08 09:40:00,8,輕度,25 (公尺/秒),2,彭佳嶼至基隆間,形成後向西北轉西北西移動，於7日午後由基隆外海進入大屯山區，由淡水河口進入臺灣海峽北部(暴風圈掠過東部及中、北部)，經由馬祖附近登陸福建省。,北部五縣市均有嚴重災情，有人員傷亡、失蹤。,---
傑魯得 (GERALD),198409,"118.8, 19.7",僅一次,1984年 08月 16日,海上 1984-08-16 15:00:00,海上 1984-08-19 09:50:00,12,輕度,28 (公尺/秒),---,---,形成後即在原地徘徊，於17日上午由其西南方的副中心取代原主中心，仍在原地徘徊，於19日上午向西遠離。,---,---
郝麗 (HOLLY),198410,"134.8, 20.3",僅一次,1984年 08月 19日,海上 1984-08-17 15:00:00陸上 1984-08-17 15:00:00,陸上 1984-08-19 21:30:00海上 1984-08-19 21:30:00,10,中度,35 (公尺/秒),6,---,形成後向西北進行，經那霸島西方海面時轉向北方遠離。,北部災情輕微。,---
裘恩 (JUNE),198412,"125.3, 17.7",僅一次,1984年 08月 29日,海上 1984-08-28 16:10:00陸上 1984-08-28 16:10:00,陸上 1984-08-29 20:50:00海上 1984-08-31 04:00:00,11,輕度,32 (公尺/秒),5,---,形成後向西北西移動，至呂宋島北北西方近海時，由其西南方之副中心所取代，繼續向西北轉北北西方進行，由汕頭附近進入大陸。,造成臺灣南部海水倒灌，農漁業損失慘重。,---
魏恩 (WYNNE),198402,"131.6, 21.7",僅一次,1984年 06月 24日,海上 1984-06-21 14:45:00陸上 1984-06-22 20:40:00,陸上 1984-06-24 08:50:00海上 1984-06-24 14:25:00,13,輕度,28 (公尺/秒),4,臺東至恆春間,形成後在宮古島南方向西移動，於24日凌晨1時至2時間，通過恆春附近後(暴風圈掠過南部)，經入廣東省。,未造成嚴重災害，臺東地區有人員死亡。,---
艾貝 (ABBY),198305,"139.4, 9.9",僅一次,1983年 08月 12日,海上 1983-08-09 16:00:00,海上 1983-08-13 04:30:00,15,強烈,67 (公尺/秒),---,---,形成後以西北轉北進行，經過那霸島東方海面，撲向日本本州。,---,---
艾倫 (ELLEN),198309,"171.3, 13.1",僅一次,1983年 09月 07日,海上 1983-09-05 21:00:00陸上 1983-09-06 09:10:00,陸上 1983-09-07 21:00:00海上 1983-09-08 09:10:00,11,強烈,63 (公尺/秒),5,---,形成後在菲律賓東部海面向西北進行，穿過呂宋島北部近海後，由香港西邊登陸大陸(臺灣不在暴風圈內)。,對於臺灣陸地沒有影響，只有屏東地區災情輕微，但對於海上方面，造成2起大海難，造成數10人死亡、失蹤。,---
佛瑞特 (FORREST),198310,"143.2, 11.0",僅一次,1983年 09月 26日,海上 1983-09-23 21:10:00,海上 1983-09-27 04:30:00,14,強烈,65 (公尺/秒),---,---,形成後向西北轉北北西進行，經過宮古島東北方，進入東海後在124°E轉向登陸日本九州、四國。,---,---
韋恩 (WAYNE),198304,"132.8, 15.4",僅一次,1983年 07月 25日,海上 1983-07-23 15:30:00陸上 1983-07-24 10:00:00,陸上 1983-07-25 15:00:00海上 1983-07-25 20:50:00,10,強烈,63 (公尺/秒),5,---,形成後向西北西轉西北進行，穿過巴士海峽、臺灣海峽南部後(暴風圈掠過南部)，於金門與汕頭間登陸。,高屏地區及臺東地區災情嚴重，有人員傷亡、失蹤。,---
安迪 (ANDY),198210,"145.6, 11.4",僅一次,1982年 07月 29日,海上 1982-07-26 15:40:00陸上 1982-07-27 09:20:00,陸上 1982-07-29 22:40:00海上 1982-07-30 09:10:00,16,強烈,60 (公尺/秒),4,成功至臺東間,形成後向西北西行進，於29日12時45分在臺東北方約10公里處登陸，由臺南北方出海(暴風圈籠罩全臺) ，再由金門北方進入大陸。,由於強度、位置及地形巧合，造成臺北地區罕有的持續性強風現象。全臺各地均有嚴重之災情，有多人傷亡失蹤。,---
西仕 (CECIL),198212,"124.8, 20.7",僅一次,1982年 08月 09日,海上 1982-08-06 10:10:00陸上 1982-08-06 10:10:00,陸上 1982-08-10 12:30:00海上 1982-08-10 21:30:00,20,強烈,55 (公尺/秒),6,---,形成後向西北轉北之方向，沿著臺灣東部海面北上，進入黃海(暴風圈掠過臺灣東部及東北部)。,北部地區災情嚴重，有多人傷亡、失蹤。,---
黛特 (DOT),198213,"147.4, 10.9",僅一次,1982年 08月 15日,海上 1982-08-13 09:40:00陸上 1982-08-13 20:20:00,陸上 1982-08-15 20:30:00海上 1982-08-15 20:30:00,11,中度,33 (公尺/秒),4,臺東至恆春間,形成後向西北行進，至宮古島南方轉西北西前進，於15日2時30分，由臺東與恆春間登陸，6時許由高雄附近出海，再由汕頭進入大陸(暴風圈籠罩臺灣中、南部)。,東部鐵、公路損失較大，其餘地區災情不大。,---
費依 (FAYE),198215,"120.3, 12.2",僅一次,1982年 08月 26日,海上 1982-08-26 03:15:00,海上 1982-08-27 08:55:00,6,輕度,25 (公尺/秒),---,---,形成後沿菲律賓西部近海北上後向東北進行，穿過巴士海峽至石垣島南方海面時減弱為熱帶性低氣壓。(此颱風於28日又繼續發展為中度颱風，惟對臺灣不構成威脅)。,---,---
肯恩 (KEN),198220,"131.8, 17.8",僅一次,1982年 09月 20日,海上 1982-09-18 15:20:00陸上 1982-09-19 15:50:00,陸上 1982-09-22 09:35:00海上 1982-09-22 20:10:00,18,強烈,55 (公尺/秒),---,---,形成後向西北轉西北西行進，至恆春東南東方約390公里海面上時，呈近似滯留並擺動打轉長達2天之久，其後轉向東北遠離。,---,---
南施 (NANCY),198223,"139.9, 16.2",僅一次,1982年 10月 15日,海上 1982-10-14 08:50:00,海上 1982-10-15 14:40:00,6,強烈,58 (公尺/秒),---,---,形成後向西北西轉西進行，穿過呂宋島北部，移向南海。,---,---
蒂絲 (TESS),198207,"113.6, 20.9",僅一次,1982年 07月 02日,海上 1982-07-01 15:30:00,海上 1982-07-02 09:20:00,4,輕度,18 (公尺/秒),---,---,形成後向東北東緩慢進行，至東沙島東北方海面減弱為熱帶性低氣壓。,---,---
艾妮絲 (AGNES),198117,"139.7, 17.3",僅一次,1981年 08月 30日,海上 1981-08-29 16:00:00陸上 1981-08-30 04:00:00,陸上 1981-08-31 08:45:00海上 1981-08-31 15:00:00,9,中度,47 (公尺/秒),1,---,形成後向西北轉北進行，自宮古島附近通過後，經過上海近海，消失於東海。,雖未造成直接影響，但其所引起之西南氣流，導致中、南部地區有嚴重之水災(93水災)，有人員傷亡、失蹤。,---
