名稱,編號,生成地點,侵臺次數,侵(近)臺日期,發布時間,解除時間,發布報數,最大強度,近中心最大風速,侵臺路徑分類,登陸地段,動態,災情,颱風災害專區網頁連結
肯特 (KENT),199509,"126.8, 16.3",僅一次,1995年 08月 30日,海上 1995-08-27 17:10:00陸上 1995-08-30 03:20:00,陸上 1995-08-31 05:40:00海上 1995-08-31 14:45:00,32,中度,45 (公尺/秒),5,---,形成後即向西北前進，31日14時在汕頭與香港之間登陸，強度減弱。,新竹地區有焚風發生。東、南部地區有強風豪雨，鐵、公路部份中斷。有1人死亡、1人失蹤。,---
賴恩 (RYAN),199515,"113.5, 13.5",僅一次,1995年 09月 22日,海上 1995-09-20 17:05:00陸上 1995-09-21 03:25:00,陸上 1995-09-23 03:40:00海上 1995-09-23 12:15:00,23,中度,45 (公尺/秒),8,---,形成後即向東北前進，於22日8時通過恆春南方海面，續以東北方向向日本前進。,恆春半島及東、南部地區有強風豪雨發生，公路多處坍方，鐵、公路及航空交通受阻。蘭嶼地區全島電力、電信中斷，災情嚴重。有1人死亡、3人失蹤。,---
凱特琳 (CAITLIN),199412,"133.5, 18.7",僅一次,1994年 08月 03日,海上 1994-08-03 06:15:00陸上 1994-08-03 08:30:00,陸上 1994-08-04 14:30:00海上 1994-08-04 14:30:00,12,輕度,25 (公尺/秒),3,成功至臺東間,形成後即以西北方向前進，3日18時於花蓮秀姑巒溪口附近登陸，3日23時左右在臺中附近出海後，仍維持西北方向前進，4日10時左右於大陸福州與汕頭間登陸，強度迅速減弱。,東、南部地區豪雨不斷，鐵、公路嚴重受損，後勁溪海水倒灌。高雄縣、臺南縣受災慘重。8人死亡。,---
道格 (DOUG),199413,"143.2, 14.9",僅一次,1994年 08月 08日,海上 1994-08-06 09:10:00陸上 1994-08-06 14:30:00,陸上 1994-08-08 20:20:00海上 1994-08-09 06:15:00,24,強烈,58 (公尺/秒),6,---,自形成後至臺灣東部近海之間，大致以西北偏北之方向行進。至臺灣東部近海後，強度開始減弱，颱風中心於8日2時進入彭佳嶼與宜蘭間海面，緩慢通過後向北朝江蘇長江口撲去。,受豪雨影響，公路多處坍方，橋樑毀損，鐡路內灣支線竹東鐡橋遭溪水沖斷。鐡、公路及航空交通受阻。電力嚴重損害。南投縣山區山洪爆發，部份地區對外交通中斷，臺灣各地均有災情，以宜蘭縣最嚴重。花蓮、臺東地區有焚風發生。有11人死亡、4人失蹤、42人受傷。道格北上引進強烈的西南氣流，南部、東南部及中部山區豪雨持續數日。,---
弗雷特 (FRED),199415,"149.1, 19.5",僅一次,1994年 08月 21日,海上 1994-08-19 02:35:00陸上 1994-08-19 14:40:00,陸上 1994-08-21 20:30:00海上 1994-08-22 05:50:00,26,強烈,55 (公尺/秒),1,---,形成後即以西北方向行進，在臺灣東部近海時路徑稍向北偏，至東北部近海時，繼續向西北方向前進，21日通過彭佳嶼北部海面後，轉西北西方向，22日0時左右在浙江溫州灣附近登陸。,北部地區雨量較大，公路多處坍方，各地無重大災情。臺東地區出現焚風。3人死亡、1人失蹤、2人受傷。,---
葛拉絲 (GLADYS),199416,"155.5, 18.8",僅一次,1994年 09月 01日,海上 1994-08-31 02:35:00陸上 1994-08-31 10:15:00,陸上 1994-09-01 23:25:00海上 1994-09-02 02:30:00,18,中度,35 (公尺/秒),2,宜蘭至花蓮間,形成後大致以偏西方向行進，於9月1日11時左右在蘇澳附近登陸，強度減弱，1日14時左右在新竹附近出海，於1日22時左右登陸大陸福建湄洲灣。,北部地區風雨較大，鐵、公路部份路段受損，交通中斷。宜蘭全縣斷電，災情較嚴重。有6人死亡、1人失蹤、51人受傷。,---
席斯 (SETH),199427,"167.1, 8.3",僅一次,1994年 10月 10日,海上 1994-10-07 14:45:00陸上 1994-10-07 20:40:00,陸上 1994-10-10 20:40:00海上 1994-10-11 05:40:00,30,強烈,51 (公尺/秒),6,---,形成後以西北方向行進，至臺灣東部近海時，路徑稍偏北，10日緩慢通過彭佳嶼北部海面後，向北遠離。,北部、東北部地區有強風豪雨，公路部份路段坍方，其餘各地無重大災情。有6人死亡、5人失蹤、8人受傷。,---
提姆 (TIM),199405,"136.8, 10.0",僅一次,1994年 07月 10日,海上 1994-07-09 10:20:00陸上 1994-07-09 15:00:00,陸上 1994-07-11 15:40:00海上 1994-07-11 15:40:00,10,強烈,53 (公尺/秒),3,成功至臺東間,形成後即以西北方向前進，於10日20時於花蓮秀姑巒溪口登陸，11日凌晨在臺中附近出海後，仍維持西北方向行進，11日清晨於大陸福建廈門附近登陸後，強度迅速減弱。,臺灣各地均出現強風豪雨。東部、東南部地區鐵、公路交通中斷。宜蘭、花蓮、臺東及西南部地區農作物損害，以花蓮災情最嚴重。17人死亡、6人失蹤、70人受傷。,---
亞伯 (ABE),199316,"119.2, 17.3",僅一次,1993年 09月 11日,海上 1993-09-10 21:30:00陸上 1993-09-11 15:45:00,陸上 1993-09-12 21:30:00海上 1993-09-14 09:10:00,15,中度,43 (公尺/秒),5,---,形成後以北北西方向行進至巴士古島北方轉向西通過巴士海峽後再轉向西北朝向大陸廣東沿海行進，最後在汕頭附近登陸。,花東地區雨量豐沛，中橫、南橫及東海岸公路均有部份崩塌，災情輕微。,---
塔莎 (TASHA),199311,"145.6, 8.0",僅一次,1993年 08月 18日,海上 1993-08-17 16:10:00陸上 1993-08-18 03:30:00,陸上 1993-08-18 21:00:00海上 1993-08-19 09:40:00,8,輕度,25 (公尺/秒),---,---,形成後以向西北方向行進至巴士古島南方，轉西北西方向通過巴士海峽，並繼續西行越過東沙島朝香港方向離去。,---,---
楊希 (YANCY),199314,"139.7, 19.6",僅一次,1993年 09月 02日,海上 1993-08-31 21:30:00陸上 1993-09-01 09:15:00,陸上 1993-09-02 09:00:00海上 1993-09-02 16:00:00,8,強烈,51 (公尺/秒),---,---,形成後起初行徑較不穩定，行進至那霸南方約五百公里處轉向西北後，轉北，再轉北北東朝日本方面離去。,---,---
